,Period of Holding
7722,7 days 00:00:00.000000000
7723,7 days 00:00:00.000000000
7724,3 days 00:00:00.000000000
7725,9 days 00:00:00.000000000
7726,7 days 00:00:00.000000000
7727,7 days 00:00:00.000000000
7728,5 days 00:00:00.000000000
7729,62 days 00:00:00.000000000
7730,7 days 00:00:00.000000000
7731,9 days 00:00:00.000000000
7732,66 days 00:00:00.000000000
7733,6 days 00:00:00.000000000
7734,6 days 00:00:00.000000000
7735,6 days 00:00:00.000000000
7736,6 days 00:00:00.000000000
7737,92 days 00:00:00.000000000
7738,68 days 00:00:00.000000000
7739,13 days 00:00:00.000000000
7740,36 days 00:00:00.000000000
7741,36 days 00:00:00.000000000
7742,1 days 00:00:00.000000000
7743,32 days 00:00:00.000000000
7744,1 days 00:00:00.000000000
7745,33 days 00:00:00.000000000
7746,32 days 00:00:00.000000000
7747,32 days 00:00:00.000000000
7748,8 days 00:00:00.000000000
7749,8 days 00:00:00.000000000
7750,13 days 00:00:00.000000000
7751,31 days 00:00:00.000000000
7752,7 days 00:00:00.000000000
7753,31 days 00:00:00.000000000
7754,31 days 00:00:00.000000000
7755,6 days 00:00:00.000000000
7756,35 days 00:00:00.000000000
7757,32 days 00:00:00.000000000
7758,32 days 00:00:00.000000000
7759,6 days 00:00:00.000000000
7760,6 days 00:00:00.000000000
7761,7 days 00:00:00.000000000
7762,33 days 00:00:00.000000000
7763,38 days 00:00:00.000000000
7764,35 days 00:00:00.000000000
7765,34 days 00:00:00.000000000
7766,30 days 00:00:00.000000000
7767,30 days 00:00:00.000000000
7768,7 days 00:00:00.000000000
7769,7 days 00:00:00.000000000
7770,7 days 00:00:00.000000000
7771,92 days 00:00:00.000000000
7772,16 days 00:00:00.000000000
7773,7 days 00:00:00.000000000
7774,9 days 00:00:00.000000000
7775,7 days 00:00:00.000000000
7776,7 days 00:00:00.000000000
7777,7 days 00:00:00.000000000
7778,90 days 00:00:00.000000000
7779,7 days 00:00:00.000000000
7780,7 days 00:00:00.000000000
7781,62 days 00:00:00.000000000
7782,34 days 00:00:00.000000000
7783,33 days 00:00:00.000000000
7784,92 days 00:00:00.000000000
7785,92 days 00:00:00.000000000
7786,33 days 00:00:00.000000000
7787,33 days 00:00:00.000000000
7788,31 days 00:00:00.000000000
7789,63 days 00:00:00.000000000
7790,63 days 00:00:00.000000000
7791,94 days 00:00:00.000000000
7792,35 days 00:00:00.000000000
7793,36 days 00:00:00.000000000
7794,29 days 00:00:00.000000000
7795,32 days 00:00:00.000000000
7796,7 days 00:00:00.000000000
7797,7 days 00:00:00.000000000
7798,7 days 00:00:00.000000000
7799,11 days 00:00:00.000000000
7800,35 days 00:00:00.000000000
7801,7 days 00:00:00.000000000
7802,7 days 00:00:00.000000000
7803,7 days 00:00:00.000000000
7804,7 days 00:00:00.000000000
7805,7 days 00:00:00.000000000
7806,7 days 00:00:00.000000000
7807,92 days 00:00:00.000000000
7808,64 days 00:00:00.000000000
7809,97 days 00:00:00.000000000
7810,92 days 00:00:00.000000000
7811,7 days 00:00:00.000000000
7812,7 days 00:00:00.000000000
7813,91 days 00:00:00.000000000
7814,30 days 00:00:00.000000000
7815,7 days 00:00:00.000000000
7816,7 days 00:00:00.000000000
7817,7 days 00:00:00.000000000
7818,7 days 00:00:00.000000000
7819,7 days 00:00:00.000000000
7820,7 days 00:00:00.000000000
7821,61 days 00:00:00.000000000
7822,7 days 00:00:00.000000000
7823,7 days 00:00:00.000000000
7824,36 days 00:00:00.000000000
7825,33 days 00:00:00.000000000
7826,34 days 00:00:00.000000000
7827,34 days 00:00:00.000000000
7828,7 days 00:00:00.000000000
7829,7 days 00:00:00.000000000
7830,97 days 00:00:00.000000000
7831,66 days 00:00:00.000000000
7832,7 days 00:00:00.000000000
7833,7 days 00:00:00.000000000
7834,7 days 00:00:00.000000000
7835,7 days 00:00:00.000000000
7836,7 days 00:00:00.000000000
7837,33 days 00:00:00.000000000
7838,33 days 00:00:00.000000000
7839,33 days 00:00:00.000000000
7840,33 days 00:00:00.000000000
7841,33 days 00:00:00.000000000
7842,33 days 00:00:00.000000000
7843,31 days 00:00:00.000000000
7844,31 days 00:00:00.000000000
7845,31 days 00:00:00.000000000
7846,34 days 00:00:00.000000000
7847,76 days 00:00:00.000000000
7848,76 days 00:00:00.000000000
7849,7 days 00:00:00.000000000
7850,6 days 00:00:00.000000000
7851,6 days 00:00:00.000000000
7852,96 days 00:00:00.000000000
7853,66 days 00:00:00.000000000
7854,34 days 00:00:00.000000000
7855,22 days 00:00:00.000000000
7856,1 days 00:00:00.000000000
7857,1 days 00:00:00.000000000
7858,21 days 00:00:00.000000000
7859,21 days 00:00:00.000000000
7860,21 days 00:00:00.000000000
7861,21 days 00:00:00.000000000
7862,7 days 00:00:00.000000000
7863,96 days 00:00:00.000000000
7864,34 days 00:00:00.000000000
7865,7 days 00:00:00.000000000
7866,7 days 00:00:00.000000000
7867,7 days 00:00:00.000000000
7868,7 days 00:00:00.000000000
7869,93 days 00:00:00.000000000
7870,96 days 00:00:00.000000000
7871,63 days 00:00:00.000000000
7872,62 days 00:00:00.000000000
7873,7 days 00:00:00.000000000
7874,31 days 00:00:00.000000000
7875,31 days 00:00:00.000000000
7876,31 days 00:00:00.000000000
7877,32 days 00:00:00.000000000
7878,91 days 00:00:00.000000000
7879,7 days 00:00:00.000000000
7880,7 days 00:00:00.000000000
7881,30 days 00:00:00.000000000
7882,90 days 00:00:00.000000000
7883,90 days 00:00:00.000000000
7884,4 days 00:00:00.000000000
7885,7 days 00:00:00.000000000
7886,31 days 00:00:00.000000000
7887,11 days 00:00:00.000000000
7888,61 days 00:00:00.000000000
7889,34 days 00:00:00.000000000
7890,4 days 00:00:00.000000000
7891,7 days 00:00:00.000000000
7892,7 days 00:00:00.000000000
7893,34 days 00:00:00.000000000
7894,31 days 00:00:00.000000000
7895,34 days 00:00:00.000000000
7896,11 days 00:00:00.000000000
7897,11 days 00:00:00.000000000
7898,66 days 00:00:00.000000000
7899,7 days 00:00:00.000000000
7900,86 days 00:00:00.000000000
7901,31 days 00:00:00.000000000
7902,31 days 00:00:00.000000000
7903,4 days 00:00:00.000000000
7904,94 days 00:00:00.000000000
7905,84 days 00:00:00.000000000
7906,96 days 00:00:00.000000000
7907,11 days 00:00:00.000000000
7908,36 days 00:00:00.000000000
7909,35 days 00:00:00.000000000
7910,90 days 00:00:00.000000000
7911,34 days 00:00:00.000000000
7912,93 days 00:00:00.000000000
7913,34 days 00:00:00.000000000
7914,95 days 00:00:00.000000000
7915,34 days 00:00:00.000000000
7916,34 days 00:00:00.000000000
7917,7 days 00:00:00.000000000
7918,7 days 00:00:00.000000000
7919,7 days 00:00:00.000000000
7920,33 days 00:00:00.000000000
7921,7 days 00:00:00.000000000
7922,34 days 00:00:00.000000000
7923,34 days 00:00:00.000000000
7924,34 days 00:00:00.000000000
7925,7 days 00:00:00.000000000
7926,9 days 00:00:00.000000000
7927,94 days 00:00:00.000000000
7928,31 days 00:00:00.000000000
7929,31 days 00:00:00.000000000
7930,7 days 00:00:00.000000000
7931,7 days 00:00:00.000000000
7932,7 days 00:00:00.000000000
7933,91 days 00:00:00.000000000
7934,63 days 00:00:00.000000000
7935,63 days 00:00:00.000000000
7936,7 days 00:00:00.000000000
7937,33 days 00:00:00.000000000
7938,95 days 00:00:00.000000000
7939,7 days 00:00:00.000000000
7940,94 days 00:00:00.000000000
7941,7 days 00:00:00.000000000
7942,7 days 00:00:00.000000000
7943,33 days 00:00:00.000000000
7944,13 days 00:00:00.000000000
7945,34 days 00:00:00.000000000
7946,90 days 00:00:00.000000000
7947,7 days 00:00:00.000000000
7948,7 days 00:00:00.000000000
7949,96 days 00:00:00.000000000
7950,7 days 00:00:00.000000000
7951,34 days 00:00:00.000000000
7952,6 days 00:00:00.000000000
7953,34 days 00:00:00.000000000
7954,7 days 00:00:00.000000000
7955,35 days 00:00:00.000000000
7956,35 days 00:00:00.000000000
7957,33 days 00:00:00.000000000
7958,7 days 00:00:00.000000000
7959,29 days 00:00:00.000000000
7960,28 days 00:00:00.000000000
7961,9 days 00:00:00.000000000
7962,93 days 00:00:00.000000000
7963,91 days 00:00:00.000000000
7964,7 days 00:00:00.000000000
7965,7 days 00:00:00.000000000
7966,7 days 00:00:00.000000000
7967,21 days 00:00:00.000000000
7968,7 days 00:00:00.000000000
7969,91 days 00:00:00.000000000
7970,91 days 00:00:00.000000000
7971,33 days 00:00:00.000000000
7972,7 days 00:00:00.000000000
7973,7 days 00:00:00.000000000
7974,8 days 00:00:00.000000000
7975,8 days 00:00:00.000000000
7976,8 days 00:00:00.000000000
7977,93 days 00:00:00.000000000
7978,95 days 00:00:00.000000000
7979,31 days 00:00:00.000000000
7980,91 days 00:00:00.000000000
7981,7 days 00:00:00.000000000
7982,7 days 00:00:00.000000000
7983,9 days 00:00:00.000000000
7984,91 days 00:00:00.000000000
7985,91 days 00:00:00.000000000
7986,34 days 00:00:00.000000000
7987,90 days 00:00:00.000000000
7988,92 days 00:00:00.000000000
7989,90 days 00:00:00.000000000
7990,90 days 00:00:00.000000000
7991,7 days 00:00:00.000000000
7992,8 days 00:00:00.000000000
7993,7 days 00:00:00.000000000
7994,7 days 00:00:00.000000000
7995,93 days 00:00:00.000000000
7996,92 days 00:00:00.000000000
7997,63 days 00:00:00.000000000
7998,7 days 00:00:00.000000000
7999,1 days 00:00:00.000000000
8000,1 days 00:00:00.000000000
8001,1 days 00:00:00.000000000
8002,34 days 00:00:00.000000000
8003,34 days 00:00:00.000000000
8004,11 days 00:00:00.000000000
8005,7 days 00:00:00.000000000
8006,7 days 00:00:00.000000000
8007,92 days 00:00:00.000000000
8008,34 days 00:00:00.000000000
8009,93 days 00:00:00.000000000
8010,8 days 00:00:00.000000000
8011,34 days 00:00:00.000000000
8012,38 days 00:00:00.000000000
8013,38 days 00:00:00.000000000
8014,10 days 00:00:00.000000000
8015,6 days 00:00:00.000000000
8016,6 days 00:00:00.000000000
8017,6 days 00:00:00.000000000
8018,9 days 00:00:00.000000000
8019,92 days 00:00:00.000000000
8020,35 days 00:00:00.000000000
8021,7 days 00:00:00.000000000
8022,7 days 00:00:00.000000000
8023,7 days 00:00:00.000000000
8024,7 days 00:00:00.000000000
8025,32 days 00:00:00.000000000
8026,7 days 00:00:00.000000000
8027,7 days 00:00:00.000000000
8028,7 days 00:00:00.000000000
8029,7 days 00:00:00.000000000
8030,7 days 00:00:00.000000000
8031,7 days 00:00:00.000000000
8032,63 days 00:00:00.000000000
8033,7 days 00:00:00.000000000
8034,7 days 00:00:00.000000000
8035,31 days 00:00:00.000000000
8036,7 days 00:00:00.000000000
8037,34 days 00:00:00.000000000
8038,90 days 00:00:00.000000000
8039,11 days 00:00:00.000000000
8040,11 days 00:00:00.000000000
8041,35 days 00:00:00.000000000
8042,35 days 00:00:00.000000000
8043,10 days 00:00:00.000000000
8044,92 days 00:00:00.000000000
8045,30 days 00:00:00.000000000
8046,91 days 00:00:00.000000000
8047,8 days 00:00:00.000000000
8048,7 days 00:00:00.000000000
8049,7 days 00:00:00.000000000
8050,90 days 00:00:00.000000000
8051,28 days 00:00:00.000000000
8052,7 days 00:00:00.000000000
8053,32 days 00:00:00.000000000
8054,63 days 00:00:00.000000000
8055,11 days 00:00:00.000000000
8056,94 days 00:00:00.000000000
8057,1 days 00:00:00.000000000
8058,1 days 00:00:00.000000000
8059,7 days 00:00:00.000000000
8060,91 days 00:00:00.000000000
8061,34 days 00:00:00.000000000
8062,34 days 00:00:00.000000000
8063,67 days 00:00:00.000000000
8064,35 days 00:00:00.000000000
8065,9 days 00:00:00.000000000
8066,63 days 00:00:00.000000000
8067,38 days 00:00:00.000000000
8068,38 days 00:00:00.000000000
8069,7 days 00:00:00.000000000
8070,63 days 00:00:00.000000000
8071,34 days 00:00:00.000000000
8072,9 days 00:00:00.000000000
8073,35 days 00:00:00.000000000
8074,35 days 00:00:00.000000000
8075,7 days 00:00:00.000000000
8076,7 days 00:00:00.000000000
8077,7 days 00:00:00.000000000
8078,7 days 00:00:00.000000000
8079,32 days 00:00:00.000000000
8080,35 days 00:00:00.000000000
8081,7 days 00:00:00.000000000
8082,7 days 00:00:00.000000000
8083,30 days 00:00:00.000000000
8084,7 days 00:00:00.000000000
8085,7 days 00:00:00.000000000
8086,90 days 00:00:00.000000000
8087,7 days 00:00:00.000000000
8088,30 days 00:00:00.000000000
8089,93 days 00:00:00.000000000
8090,34 days 00:00:00.000000000
8091,7 days 00:00:00.000000000
8092,7 days 00:00:00.000000000
8093,7 days 00:00:00.000000000
8094,28 days 00:00:00.000000000
8095,91 days 00:00:00.000000000
8096,32 days 00:00:00.000000000
8097,32 days 00:00:00.000000000
8098,32 days 00:00:00.000000000
8099,32 days 00:00:00.000000000
8100,32 days 00:00:00.000000000
8101,28 days 00:00:00.000000000
8102,59 days 00:00:00.000000000
8103,63 days 00:00:00.000000000
8104,34 days 00:00:00.000000000
8105,8 days 00:00:00.000000000
8106,8 days 00:00:00.000000000
8107,34 days 00:00:00.000000000
8108,34 days 00:00:00.000000000
8109,62 days 00:00:00.000000000
8110,94 days 00:00:00.000000000
8111,7 days 00:00:00.000000000
8112,7 days 00:00:00.000000000
8113,54 days 00:00:00.000000000
8114,7 days 00:00:00.000000000
8115,7 days 00:00:00.000000000
8116,7 days 00:00:00.000000000
8117,38 days 00:00:00.000000000
8118,7 days 00:00:00.000000000
8119,7 days 00:00:00.000000000
8120,7 days 00:00:00.000000000
8121,7 days 00:00:00.000000000
8122,31 days 00:00:00.000000000
8123,7 days 00:00:00.000000000
8124,32 days 00:00:00.000000000
8125,7 days 00:00:00.000000000
8126,7 days 00:00:00.000000000
8127,30 days 00:00:00.000000000
8128,21 days 00:00:00.000000000
8129,91 days 00:00:00.000000000
8130,39 days 00:00:00.000000000
8131,8 days 00:00:00.000000000
8132,62 days 00:00:00.000000000
8133,31 days 00:00:00.000000000
8134,30 days 00:00:00.000000000
8135,7 days 00:00:00.000000000
8136,7 days 00:00:00.000000000
8137,7 days 00:00:00.000000000
8138,7 days 00:00:00.000000000
8139,7 days 00:00:00.000000000
8140,34 days 00:00:00.000000000
8141,31 days 00:00:00.000000000
8142,7 days 00:00:00.000000000
8143,7 days 00:00:00.000000000
8144,7 days 00:00:00.000000000
8145,90 days 00:00:00.000000000
8146,33 days 00:00:00.000000000
8147,33 days 00:00:00.000000000
8148,33 days 00:00:00.000000000
8149,11 days 00:00:00.000000000
8150,31 days 00:00:00.000000000
8151,12 days 00:00:00.000000000
8152,12 days 00:00:00.000000000
8153,7 days 00:00:00.000000000
8154,8 days 00:00:00.000000000
8155,11 days 00:00:00.000000000
8156,32 days 00:00:00.000000000
8157,95 days 00:00:00.000000000
8158,9 days 00:00:00.000000000
8159,9 days 00:00:00.000000000
8160,34 days 00:00:00.000000000
8161,34 days 00:00:00.000000000
8162,32 days 00:00:00.000000000
8163,7 days 00:00:00.000000000
8164,7 days 00:00:00.000000000
8165,7 days 00:00:00.000000000
8166,30 days 00:00:00.000000000
8167,30 days 00:00:00.000000000
8168,35 days 00:00:00.000000000
8169,8 days 00:00:00.000000000
8170,7 days 00:00:00.000000000
8171,7 days 00:00:00.000000000
8172,34 days 00:00:00.000000000
8173,34 days 00:00:00.000000000
8174,7 days 00:00:00.000000000
8175,31 days 00:00:00.000000000
8176,32 days 00:00:00.000000000
8177,34 days 00:00:00.000000000
8178,34 days 00:00:00.000000000
8179,7 days 00:00:00.000000000
8180,96 days 00:00:00.000000000
8181,9 days 00:00:00.000000000
8182,8 days 00:00:00.000000000
8183,8 days 00:00:00.000000000
8184,30 days 00:00:00.000000000
8185,92 days 00:00:00.000000000
8186,94 days 00:00:00.000000000
8187,7 days 00:00:00.000000000
8188,34 days 00:00:00.000000000
8189,7 days 00:00:00.000000000
8190,61 days 00:00:00.000000000
8191,93 days 00:00:00.000000000
8192,31 days 00:00:00.000000000
8193,34 days 00:00:00.000000000
8194,31 days 00:00:00.000000000
8195,7 days 00:00:00.000000000
8196,7 days 00:00:00.000000000
8197,7 days 00:00:00.000000000
8198,7 days 00:00:00.000000000
8199,7 days 00:00:00.000000000
8200,7 days 00:00:00.000000000
8201,7 days 00:00:00.000000000
8202,8 days 00:00:00.000000000
8203,8 days 00:00:00.000000000
8204,21 days 00:00:00.000000000
8205,33 days 00:00:00.000000000
8206,8 days 00:00:00.000000000
8207,57 days 00:00:00.000000000
8208,7 days 00:00:00.000000000
8209,7 days 00:00:00.000000000
8210,32 days 00:00:00.000000000
8211,32 days 00:00:00.000000000
8212,92 days 00:00:00.000000000
8213,35 days 00:00:00.000000000
8214,7 days 00:00:00.000000000
8215,90 days 00:00:00.000000000
8216,8 days 00:00:00.000000000
8217,94 days 00:00:00.000000000
8218,35 days 00:00:00.000000000
8219,7 days 00:00:00.000000000
8220,7 days 00:00:00.000000000
8221,31 days 00:00:00.000000000
8222,7 days 00:00:00.000000000
8223,35 days 00:00:00.000000000
8224,67 days 00:00:00.000000000
8225,7 days 00:00:00.000000000
8226,20 days 00:00:00.000000000
8227,33 days 00:00:00.000000000
8228,9 days 00:00:00.000000000
8229,31 days 00:00:00.000000000
8230,9 days 00:00:00.000000000
8231,35 days 00:00:00.000000000
8232,35 days 00:00:00.000000000
8233,7 days 00:00:00.000000000
8234,7 days 00:00:00.000000000
8235,32 days 00:00:00.000000000
8236,7 days 00:00:00.000000000
8237,8 days 00:00:00.000000000
8238,7 days 00:00:00.000000000
8239,15 days 00:00:00.000000000
8240,91 days 00:00:00.000000000
8241,7 days 00:00:00.000000000
8242,7 days 00:00:00.000000000
8243,7 days 00:00:00.000000000
8244,7 days 00:00:00.000000000
8245,35 days 00:00:00.000000000
8246,35 days 00:00:00.000000000
8247,7 days 00:00:00.000000000
8248,7 days 00:00:00.000000000
8249,91 days 00:00:00.000000000
8250,9 days 00:00:00.000000000
8251,7 days 00:00:00.000000000
8252,8 days 00:00:00.000000000
8253,94 days 00:00:00.000000000
8254,29 days 00:00:00.000000000
8255,91 days 00:00:00.000000000
8256,7 days 00:00:00.000000000
8257,64 days 00:00:00.000000000
8258,7 days 00:00:00.000000000
8259,7 days 00:00:00.000000000
8260,7 days 00:00:00.000000000
8261,35 days 00:00:00.000000000
8262,32 days 00:00:00.000000000
8263,32 days 00:00:00.000000000
8264,34 days 00:00:00.000000000
8265,34 days 00:00:00.000000000
8266,34 days 00:00:00.000000000
8267,34 days 00:00:00.000000000
8268,34 days 00:00:00.000000000
8269,34 days 00:00:00.000000000
8270,34 days 00:00:00.000000000
8271,93 days 00:00:00.000000000
8272,94 days 00:00:00.000000000
8273,7 days 00:00:00.000000000
8274,7 days 00:00:00.000000000
8275,7 days 00:00:00.000000000
8276,7 days 00:00:00.000000000
8277,7 days 00:00:00.000000000
8278,90 days 00:00:00.000000000
8279,30 days 00:00:00.000000000
8280,30 days 00:00:00.000000000
8281,31 days 00:00:00.000000000
8282,9 days 00:00:00.000000000
8283,9 days 00:00:00.000000000
8284,31 days 00:00:00.000000000
8285,7 days 00:00:00.000000000
8286,7 days 00:00:00.000000000
8287,90 days 00:00:00.000000000
8288,66 days 00:00:00.000000000
8289,7 days 00:00:00.000000000
8290,92 days 00:00:00.000000000
8291,33 days 00:00:00.000000000
8292,29 days 00:00:00.000000000
8293,7 days 00:00:00.000000000
8294,7 days 00:00:00.000000000
8295,7 days 00:00:00.000000000
8296,7 days 00:00:00.000000000
8297,31 days 00:00:00.000000000
8298,95 days 00:00:00.000000000
8299,64 days 00:00:00.000000000
8300,7 days 00:00:00.000000000
8301,35 days 00:00:00.000000000
8302,30 days 00:00:00.000000000
8303,7 days 00:00:00.000000000
8304,7 days 00:00:00.000000000
8305,7 days 00:00:00.000000000
8306,7 days 00:00:00.000000000
8307,93 days 00:00:00.000000000
8308,35 days 00:00:00.000000000
8309,35 days 00:00:00.000000000
8310,35 days 00:00:00.000000000
8311,35 days 00:00:00.000000000
8312,35 days 00:00:00.000000000
8313,35 days 00:00:00.000000000
8314,35 days 00:00:00.000000000
8315,9 days 00:00:00.000000000
8316,94 days 00:00:00.000000000
8317,1 days 00:00:00.000000000
8318,34 days 00:00:00.000000000
8319,68 days 00:00:00.000000000
8320,7 days 00:00:00.000000000
8321,7 days 00:00:00.000000000
8322,7 days 00:00:00.000000000
8323,20 days 00:00:00.000000000
8324,91 days 00:00:00.000000000
8325,7 days 00:00:00.000000000
8326,7 days 00:00:00.000000000
8327,93 days 00:00:00.000000000
8328,92 days 00:00:00.000000000
8329,92 days 00:00:00.000000000
8330,92 days 00:00:00.000000000
8331,8 days 00:00:00.000000000
8332,32 days 00:00:00.000000000
8333,56 days 00:00:00.000000000
8334,7 days 00:00:00.000000000
8335,92 days 00:00:00.000000000
8336,31 days 00:00:00.000000000
8337,31 days 00:00:00.000000000
8338,36 days 00:00:00.000000000
8339,7 days 00:00:00.000000000
8340,7 days 00:00:00.000000000
8341,7 days 00:00:00.000000000
8342,7 days 00:00:00.000000000
8343,31 days 00:00:00.000000000
8344,7 days 00:00:00.000000000
8345,94 days 00:00:00.000000000
8346,7 days 00:00:00.000000000
8347,7 days 00:00:00.000000000
8348,7 days 00:00:00.000000000
8349,7 days 00:00:00.000000000
8350,32 days 00:00:00.000000000
8351,8 days 00:00:00.000000000
8352,8 days 00:00:00.000000000
8353,8 days 00:00:00.000000000
8354,32 days 00:00:00.000000000
8355,35 days 00:00:00.000000000
8356,29 days 00:00:00.000000000
8357,7 days 00:00:00.000000000
8358,7 days 00:00:00.000000000
8359,7 days 00:00:00.000000000
8360,7 days 00:00:00.000000000
8361,7 days 00:00:00.000000000
8362,7 days 00:00:00.000000000
8363,31 days 00:00:00.000000000
8364,34 days 00:00:00.000000000
8365,34 days 00:00:00.000000000
8366,92 days 00:00:00.000000000
8367,94 days 00:00:00.000000000
8368,7 days 00:00:00.000000000
8369,8 days 00:00:00.000000000
8370,7 days 00:00:00.000000000
8371,7 days 00:00:00.000000000
8372,7 days 00:00:00.000000000
8373,7 days 00:00:00.000000000
8374,7 days 00:00:00.000000000
8375,7 days 00:00:00.000000000
8376,93 days 00:00:00.000000000
8377,7 days 00:00:00.000000000
8378,7 days 00:00:00.000000000
8379,36 days 00:00:00.000000000
8380,31 days 00:00:00.000000000
8381,90 days 00:00:00.000000000
8382,7 days 00:00:00.000000000
8383,7 days 00:00:00.000000000
8384,94 days 00:00:00.000000000
8385,9 days 00:00:00.000000000
8386,7 days 00:00:00.000000000
8387,7 days 00:00:00.000000000
8388,7 days 00:00:00.000000000
8389,63 days 00:00:00.000000000
8390,12 days 00:00:00.000000000
8391,7 days 00:00:00.000000000
8392,7 days 00:00:00.000000000
8393,92 days 00:00:00.000000000
8394,92 days 00:00:00.000000000
8395,7 days 00:00:00.000000000
8396,31 days 00:00:00.000000000
8397,8 days 00:00:00.000000000
8398,6 days 00:00:00.000000000
8399,34 days 00:00:00.000000000
8400,34 days 00:00:00.000000000
8401,91 days 00:00:00.000000000
8402,91 days 00:00:00.000000000
8403,7 days 00:00:00.000000000
8404,30 days 00:00:00.000000000
8405,91 days 00:00:00.000000000
8406,62 days 00:00:00.000000000
8407,95 days 00:00:00.000000000
8408,92 days 00:00:00.000000000
8409,91 days 00:00:00.000000000
8410,35 days 00:00:00.000000000
8411,96 days 00:00:00.000000000
8412,7 days 00:00:00.000000000
8413,7 days 00:00:00.000000000
8414,61 days 00:00:00.000000000
8415,96 days 00:00:00.000000000
8416,35 days 00:00:00.000000000
8417,7 days 00:00:00.000000000
8418,28 days 00:00:00.000000000
8419,7 days 00:00:00.000000000
8420,30 days 00:00:00.000000000
8421,91 days 00:00:00.000000000
8422,89 days 00:00:00.000000000
8423,31 days 00:00:00.000000000
8424,31 days 00:00:00.000000000
8425,7 days 00:00:00.000000000
8426,61 days 00:00:00.000000000
8427,29 days 00:00:00.000000000
8428,7 days 00:00:00.000000000
8429,30 days 00:00:00.000000000
8430,34 days 00:00:00.000000000
8431,34 days 00:00:00.000000000
8432,95 days 00:00:00.000000000
8433,33 days 00:00:00.000000000
8434,7 days 00:00:00.000000000
8435,34 days 00:00:00.000000000
8436,33 days 00:00:00.000000000
8437,7 days 00:00:00.000000000
8438,7 days 00:00:00.000000000
8439,98 days 00:00:00.000000000
8440,7 days 00:00:00.000000000
8441,33 days 00:00:00.000000000
8442,33 days 00:00:00.000000000
8443,92 days 00:00:00.000000000
8444,7 days 00:00:00.000000000
8445,35 days 00:00:00.000000000
8446,35 days 00:00:00.000000000
8447,7 days 00:00:00.000000000
8448,7 days 00:00:00.000000000
8449,95 days 00:00:00.000000000
8450,95 days 00:00:00.000000000
8451,7 days 00:00:00.000000000
8452,30 days 00:00:00.000000000
8453,8 days 00:00:00.000000000
8454,8 days 00:00:00.000000000
8455,92 days 00:00:00.000000000
8456,35 days 00:00:00.000000000
8457,85 days 00:00:00.000000000
8458,4 days 00:00:00.000000000
8459,9 days 00:00:00.000000000
8460,7 days 00:00:00.000000000
8461,7 days 00:00:00.000000000
8462,64 days 00:00:00.000000000
8463,90 days 00:00:00.000000000
8464,33 days 00:00:00.000000000
8465,7 days 00:00:00.000000000
8466,7 days 00:00:00.000000000
8467,7 days 00:00:00.000000000
8468,12 days 00:00:00.000000000
8469,12 days 00:00:00.000000000
8470,91 days 00:00:00.000000000
8471,32 days 00:00:00.000000000
8472,11 days 00:00:00.000000000
8473,73 days 00:00:00.000000000
8474,72 days 00:00:00.000000000
8475,72 days 00:00:00.000000000
8476,7 days 00:00:00.000000000
8477,31 days 00:00:00.000000000
8478,35 days 00:00:00.000000000
8479,7 days 00:00:00.000000000
8480,7 days 00:00:00.000000000
8481,7 days 00:00:00.000000000
8482,92 days 00:00:00.000000000
8483,34 days 00:00:00.000000000
8484,32 days 00:00:00.000000000
8485,7 days 00:00:00.000000000
8486,40 days 00:00:00.000000000
8487,31 days 00:00:00.000000000
8488,31 days 00:00:00.000000000
8489,31 days 00:00:00.000000000
8490,95 days 00:00:00.000000000
8491,34 days 00:00:00.000000000
8492,34 days 00:00:00.000000000
8493,34 days 00:00:00.000000000
8494,31 days 00:00:00.000000000
8495,30 days 00:00:00.000000000
8496,30 days 00:00:00.000000000
8497,7 days 00:00:00.000000000
8498,7 days 00:00:00.000000000
8499,7 days 00:00:00.000000000
8500,32 days 00:00:00.000000000
8501,95 days 00:00:00.000000000
8502,34 days 00:00:00.000000000
8503,11 days 00:00:00.000000000
8504,34 days 00:00:00.000000000
8505,7 days 00:00:00.000000000
8506,31 days 00:00:00.000000000
8507,92 days 00:00:00.000000000
8508,8 days 00:00:00.000000000
8509,8 days 00:00:00.000000000
8510,35 days 00:00:00.000000000
8511,11 days 00:00:00.000000000
8512,31 days 00:00:00.000000000
8513,1 days 00:00:00.000000000
8514,29 days 00:00:00.000000000
8515,2 days 00:00:00.000000000
8516,8 days 00:00:00.000000000
8517,1 days 00:00:00.000000000
8518,7 days 00:00:00.000000000
8519,7 days 00:00:00.000000000
8520,9 days 00:00:00.000000000
8521,92 days 00:00:00.000000000
8522,88 days 00:00:00.000000000
8523,36 days 00:00:00.000000000
8524,9 days 00:00:00.000000000
8525,35 days 00:00:00.000000000
8526,7 days 00:00:00.000000000
8527,8 days 00:00:00.000000000
8528,8 days 00:00:00.000000000
8529,34 days 00:00:00.000000000
8530,7 days 00:00:00.000000000
8531,28 days 00:00:00.000000000
8532,28 days 00:00:00.000000000
8533,7 days 00:00:00.000000000
8534,29 days 00:00:00.000000000
8535,29 days 00:00:00.000000000
8536,29 days 00:00:00.000000000
8537,29 days 00:00:00.000000000
8538,29 days 00:00:00.000000000
8539,29 days 00:00:00.000000000
8540,30 days 00:00:00.000000000
8541,7 days 00:00:00.000000000
8542,7 days 00:00:00.000000000
8543,7 days 00:00:00.000000000
8544,7 days 00:00:00.000000000
